idx,open,high,low,close,volume
364,76220.00,76220.00,76130.00,76130.00,26.7513
365,76130.00,76130.01,76055.34,76124.01,54.9085
366,76124.00,76212.78,76124.00,76179.23,27.1124
367,76179.22,76262.01,76156.00,76261.31,45.7027
368,76261.30,76432.01,76248.00,76396.01,77.7018
369,76396.01,76446.01,76378.00,76426.01,39.1634
370,76426.00,76450.00,76366.01,76448.00,39.4423
371,76448.01,76485.13,76338.49,76356.28,34.0638
372,76356.29,76401.25,76356.29,76370.01,16.8635
373,76370.01,76473.17,76370.01,76456.00,24.8192
374,76456.01,76502.69,76438.01,76438.02,21.2176
375,76438.02,76448.01,76414.00,76440.00,14.8731
376,76439.99,76459.55,76420.00,76424.01,8.7706
377,76424.01,76488.24,76424.00,76488.24,16.3999
378,76488.24,76530.00,76474.00,76500.00,22.5214
379,76500.01,76535.03,76444.53,76498.02,30.2266
380,76498.01,76531.83,76491.39,76499.45,13.4532
381,76499.46,76523.80,76458.00,76482.01,19.4787
382,76482.01,76504.01,76468.00,76482.03,79.0175
383,76482.03,76483.74,76418.00,76434.01,21.1038
384,76434.00,76452.16,76409.54,76441.99,23.5698
385,76442.00,76442.00,76376.00,76398.74,24.2269
386,76398.74,76398.74,76342.76,76342.76,6.9343
387,76342.76,76342.77,76300.00,76320.14,17.5911
388,76320.13,76324.01,76300.00,76300.00,8.3780
389,76300.01,76300.01,76200.00,76221.90,24.9965
390,76221.91,76250.00,76187.00,76214.26,37.0898
391,76214.27,76227.96,76187.00,76196.02,16.0087
392,76196.01,76357.23,76196.01,76340.01,38.4933
393,76340.01,76384.90,76332.00,76370.10,19.5751
394,76370.00,76490.01,76339.03,76481.33,28.8650
395,76481.33,76521.96,76438.71,76438.72,28.3084
396,76438.72,76598.00,76438.72,76539.81,25.0772
397,76539.82,76632.14,76504.20,76522.32,62.6481
398,76522.33,76522.33,76488.00,76508.59,8.5907
399,76508.60,76508.60,76449.90,76477.36,13.3666
400,76477.37,76477.37,76420.00,76446.01,17.6634
401,76446.01,76479.63,76438.19,76479.63,12.5745
402,76479.63,76549.99,76462.00,76491.27,29.2604
403,76491.27,76491.28,76393.16,76472.00,29.0304
404,76472.01,76476.01,76393.16,76395.62,25.2013
405,76395.62,76398.01,76329.61,76359.19,27.9774
406,76359.18,76392.01,76358.00,76374.00,9.3506
407,76374.00,76430.16,76370.00,76408.79,22.4028
408,76408.80,76408.80,76318.00,76333.88,22.1269
409,76333.87,76385.17,76308.42,76385.16,15.3692
410,76385.16,76465.19,76385.13,76465.17,36.3691
